trip_id,driver_id,distance_km,fare_amount,timestamp
20bd55fa-0ce4-4609-8327-58fa8e91cb4a,21,42.53,34.67,2025-10-14 17:31:10
1223fad4-681c-47cc-b6eb-8f3125299d8f,17,7.97,61.28,2025-10-14 17:31:12
5328cbc5-c40c-46bd-8918-7b67304f5eab,83,7.46,46.24,2025-10-14 17:31:14
b8aba9ab-8ae1-4953-af4f-01274d96ef7f,63,44.28,69.32,2025-10-14 17:31:16
0c596502-13ca-4535-bd6f-53609e2412c6,36,33.69,74.35,2025-10-14 17:31:18
f9e98816-80f1-4d8e-882d-b2b2cc0ef367,47,39.24,23.72,2025-10-14 17:31:11
88969aa2-83f9-46f5-b4db-e4168f486c3c,99,15.58,95.03,2025-10-14 17:31:13
ed36a002-0431-44a5-80fe-01a287858efe,30,33.63,16.6,2025-10-14 17:31:15
12eec1b7-e939-41d0-b1b1-d8fd8660e9db,5,34.03,116.02,2025-10-14 17:31:17
bf0d44bc-a374-4be4-81b5-14aafbead0c1,39,19.89,36.12,2025-10-14 17:31:19
