trip_id,driver_id,distance_km,fare_amount,timestamp
adb70dca-ea28-4d21-b8ff-0ffb17eebff3,95,37.56,51.52,2025-10-14 17:30:00
4bccd413-4041-48ef-a438-e044458d3e26,50,36.34,64.02,2025-10-14 17:30:02
96d1cff9-131b-4e51-8172-cd2c50d694cf,38,32.99,76.19,2025-10-14 17:30:04
7fa73972-dac0-4673-846a-7f3d5a822235,81,9.71,141.74,2025-10-14 17:30:06
9fa47a49-9b5f-4469-b2b5-e859c7d5fe64,48,7.72,112.9,2025-10-14 17:30:08
13467a1a-59ed-4522-aec1-9bb09c575240,10,18.06,33.69,2025-10-14 17:30:01
eae37478-470b-490a-98aa-90035f2bd563,56,11.57,89.24,2025-10-14 17:30:03
14aeb497-5a42-4364-bfb2-3659430d80a8,22,8.85,76.24,2025-10-14 17:30:05
032f2fb7-7330-4a0d-b0d7-e96460bd6c5c,97,11.73,123.47,2025-10-14 17:30:07
113b4200-3a53-4153-9b25-d6bf426a6328,70,21.17,12.64,2025-10-14 17:30:09
