trip_id,driver_id,distance_km,fare_amount,timestamp
6e33c4c4-6671-4f46-a6ab-c0710194de2a,71,33.06,63.12,2025-10-14 17:30:10
cd8ba732-285d-4bc2-8153-86c07c93f54f,84,6.75,73.35,2025-10-14 17:30:12
59e6e3cf-a98d-4e66-8b62-0a5aa2d3a5ae,36,35.96,64.91,2025-10-14 17:30:14
e7b67c6e-def6-4614-98f6-f1fa66d980c7,8,10.26,89.3,2025-10-14 17:30:16
4be56ee1-2c3c-4ff6-a800-c32af0ffeae8,5,16.69,97.06,2025-10-14 17:30:18
19838be8-ba31-4a1a-bddb-ec2e6dc39113,42,22.04,52.78,2025-10-14 17:30:11
4d7c8436-4894-47bd-bcf2-13cbb7af0250,79,17.26,86.74,2025-10-14 17:30:13
dfc82b85-c92a-419f-b5db-eb23f28e1489,81,11.69,73.94,2025-10-14 17:30:15
37a1606c-f9ce-438e-9924-b73607b84964,9,34.75,18.19,2025-10-14 17:30:17
e5245f75-c089-4442-917f-ba9a6034fdf1,13,16.68,68.61,2025-10-14 17:30:19
