trip_id,driver_id,distance_km,fare_amount,timestamp
d44fcd48-c5da-4e01-8118-729351ad57b3,98,46.63,54.45,2025-10-14 17:30:40
bc439286-145f-436b-96ad-8f532c0edc65,48,23.92,94.06,2025-10-14 17:30:42
e334e46c-063c-491e-abdb-635d0742d22e,97,2.1,118.86,2025-10-14 17:30:44
74d32f4f-4160-4ae8-bf9a-83816ec154e3,27,11.14,10.77,2025-10-14 17:30:46
93bd96e3-d2e6-474a-b5e5-ad957e0c4f9c,64,13.66,149.05,2025-10-14 17:30:48
a51a69f2-2ad2-4eb2-a1fa-9e22b7504ab1,51,30.93,48.62,2025-10-14 17:30:41
afe93dee-d91c-4654-8d8e-85081d9b3950,93,32.21,13.3,2025-10-14 17:30:43
0115e3a1-2004-485f-b0fb-5c3bae0eb0db,52,37.2,65.77,2025-10-14 17:30:45
84668f4c-9dcd-4573-b8dd-74cc31a35f6e,21,26.77,54.17,2025-10-14 17:30:47
7a86a334-70fc-48e5-83e5-f0c49bae2657,99,15.97,88.77,2025-10-14 17:30:49
