trip_id,driver_id,distance_km,fare_amount,timestamp
9b0e281b-b117-4fb6-b9c5-4fb237e44557,85,4.72,138.51,2025-10-14 17:31:00
813bab17-6f59-497d-b224-d5e512f44e1f,42,40.61,96.67,2025-10-14 17:31:02
854df27a-1981-4250-a644-c27749226b1a,31,42.62,50.14,2025-10-14 17:31:04
403335ec-c786-484f-9b77-ca2ce433640c,64,34.78,127.89,2025-10-14 17:31:06
1c61ab59-4cb6-4e69-a018-9ea584595a02,75,10.91,37.54,2025-10-14 17:31:08
7e569204-0814-4518-8c8a-88f3029f6878,94,18.34,114.56,2025-10-14 17:31:01
c2d5ca09-6656-48f7-89ff-56c6e891e728,63,2.44,25.44,2025-10-14 17:31:03
aa75f971-7f92-4e0a-a0bb-86ee692decc3,9,43.32,80.34,2025-10-14 17:31:05
be3d20c5-b702-43ba-912a-060e67fe3a6b,66,35.14,58.9,2025-10-14 17:31:07
4bdac310-7abe-44b9-8ef9-60e4e99e4ce0,99,46.57,12.18,2025-10-14 17:31:09
