driver_id,total_fare,avg_distance
53,58.97,39.98
81,43.31,48.31
28,53.07,9.87
26,130.73,41.68
44,124.06,29.439999999999998
12,19.44,16.92
22,127.55,1.82
93,104.75,29.82
47,43.55,48.47
86,110.44,47.92
16,83.37,16.19
3,16.47,16.95
48,53.7,10.37
5,149.41,38.075
19,111.79,44.89
88,65.42,24.47
55,23.4,33.71
49,95.05,17.09
69,139.25,5.52
97,119.59,20.38
50,223.49,33.255
73,35.12,32.69
24,110.08,49.19
70,39.16,2.38
95,69.27,25.025
21,122.61,19.38
75,119.12,19.38
56,67.4,20.55
33,146.95,14.65
68,67.45,21.51
14,81.73,34.89
30,141.97,9.97
66,91.4,29.27
46,46.08,1.54
