driver_id,total_fare,avg_distance
53,58.97,39.98
78,110.08,7.58
34,71.32,36.81
81,171.3,45.285
28,53.07,9.87
26,130.73,41.68
44,124.06,29.439999999999998
12,63.370000000000005,23.875
22,127.55,1.82
93,104.75,29.82
47,43.55,48.47
13,134.2,4.3
16,83.37,16.19
6,59.98,29.59
86,110.44,47.92
3,147.85999999999999,25.439999999999998
20,5.6,25.46
48,158.16,8.48
5,149.41,38.075
19,111.79,44.89
15,144.57,4.9
88,214.31,12.975
35,93.54,4.34
55,56.18,32.01
23,97.86,37.82
49,223.11,17.145
87,5.75,44.62
69,139.25,5.52
97,119.59,20.38
77,128.43,29.49
50,268.08000000000004,37.85
38,478.23,33.102500000000006
73,40.91,29.0
24,110.08,49.19
70,39.16,2.38
95,69.27,25.025
29,140.11,32.695
21,122.61,19.38
98,22.2,12.145
90,123.5,46.9
75,119.12,19.38
56,120.43,31.310000000000002
33,227.95999999999998,22.86
11,89.03,12.65
83,164.14999999999998,29.485
68,202.24,30.48
14,81.73,34.89
2,79.83,9.66
30,141.97,9.97
99,122.78,4.0
66,91.4,29.27
46,46.08,1.54
