driver_id,total_fare,avg_distance
65,41.14,32.87
53,58.97,39.98
78,110.08,7.58
34,71.32,36.81
81,171.3,45.285
28,151.78,15.224999999999998
26,130.73,41.68
27,49.32,5.17
44,124.06,29.439999999999998
12,63.370000000000005,23.875
91,110.2,45.18
22,308.33,21.383333333333336
93,104.75,29.82
47,43.55,48.47
52,27.89,5.03
13,134.2,4.3
16,83.37,16.19
6,59.98,29.59
86,110.44,47.92
3,147.85999999999999,25.439999999999998
20,5.6,25.46
48,158.16,8.48
5,251.04,41.333333333333336
19,111.79,44.89
92,173.35,11.205
41,6.53,13.21
15,144.57,4.9
37,123.33,35.02
88,214.31,12.975
9,136.18,2.03
72,8.37,30.17
35,93.54,4.34
55,56.18,32.01
100,147.44,29.09
23,97.86,37.82
49,223.11,17.145
87,5.75,44.62
69,139.25,5.52
97,119.59,20.38
63,46.43,10.94
77,128.43,29.49
50,268.08000000000004,37.85
38,478.23,33.102500000000006
73,40.91,29.0
25,97.41,38.58
24,110.08,49.19
70,39.16,2.38
95,69.27,25.025
29,168.94,30.166666666666668
21,122.61,19.38
98,121.96000000000001,19.186666666666667
90,123.5,46.9
75,243.88,27.085
56,184.68,32.04333333333333
33,389.28,19.8375
11,89.03,12.65
83,164.14999999999998,29.485
68,202.24,30.48
14,238.38,36.82
2,79.83,9.66
30,228.49,23.115
99,122.78,4.0
66,91.4,29.27
46,121.77,9.705
74,149.75,12.13
36,69.42,40.26
89,31.96,24.03
