driver_id,total_fare,avg_distance
65,41.14,32.87
53,299.68,25.53
78,110.08,7.58
34,71.32,36.81
81,296.29,45.54666666666666
28,237.17000000000002,18.073333333333334
76,155.44,6.779999999999999
26,130.73,41.68
27,49.32,5.17
44,124.06,29.439999999999998
12,63.370000000000005,23.875
91,110.2,45.18
22,308.33,21.383333333333336
93,104.75,29.82
47,43.55,48.47
1,61.9,3.63
52,279.33000000000004,16.613333333333333
13,134.2,4.3
16,230.61,28.020000000000003
6,59.98,29.59
86,110.44,47.92
3,147.85999999999999,25.439999999999998
20,5.6,25.46
54,6.96,11.93
96,78.87,37.1
48,181.21,12.073333333333332
5,251.04,41.333333333333336
19,130.6,28.885
92,229.91,12.233333333333334
41,6.53,13.21
15,234.33999999999997,15.405000000000001
43,55.01,17.71
37,233.45,20.64
88,214.31,12.975
9,136.18,2.03
72,120.66000000000001,31.990000000000002
35,236.32999999999998,12.87
4,16.63,22.14
55,99.00999999999999,29.12
100,147.44,29.09
23,116.62,27.793333333333333
49,223.11,17.145
7,119.22,40.28
87,56.33,46.144999999999996
51,88.61,16.9
69,139.25,5.52
97,119.59,20.38
63,46.43,10.94
77,128.43,29.49
50,268.08000000000004,37.85
38,478.23,33.102500000000006
82,9.28,37.82
73,40.91,29.0
25,97.41,38.58
24,110.08,49.19
70,39.16,2.38
62,64.19,16.63
95,206.77999999999997,27.736666666666665
29,168.94,30.166666666666668
21,122.61,19.38
98,121.96000000000001,19.186666666666667
90,123.5,46.9
32,24.07,43.89
75,243.88,27.085
56,306.71000000000004,33.845
33,389.28,19.8375
11,89.03,12.65
83,164.14999999999998,29.485
68,202.24,30.48
14,238.38,36.82
2,79.83,9.66
79,123.85,35.45
30,228.49,23.115
99,122.78,4.0
66,91.4,29.27
46,121.77,9.705
74,149.75,12.13
36,178.60000000000002,21.169999999999998
89,31.96,24.03
